image,name,author,price,category,synopsis
https://images.pexels.com/photos/17084850/pexels-photo-17084850/free-photo-of-canon.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Secret Society,Lily Carter,12.75,Mystery/Drama,"When an enigmatic invitation arrives, inviting her to join a secret society, Emily Collins embarks on a journey that will change her life forever. As she delves deeper into the mysterious world of the society, she uncovers hidden agendas, long-held secrets, and a conspiracy that could shake the foundations of power. With her own life in danger, Emily must navigate a treacherous landscape of lies and deceit while deciphering the truth behind the secret society. The Secret Society is a captivating mystery novel that explores the blurred lines between loyalty and betrayal."
https://images.pexels.com/photos/12993530/pexels-photo-12993530.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Haunting of Hollow House,Olivia Wilson,15,Horror,"In the quiet town of Hollow Hill, a group of friends decides to spend a weekend in a supposedly haunted house. But what starts as a thrill-seeking adventure quickly turns into a terrifying nightmare as they encounter malevolent spirits and dark forces beyond their comprehension. As their sanity unravels and their bonds are tested, they must uncover the truth behind the haunting and find a way to escape before it's too late. The Haunting of Hollow House is a chilling horror novel that will send shivers down your spine."
https://images.pexels.com/photos/17082890/pexels-photo-17082890/free-photo-of-eye-of-the-valley.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Timekeeper's Daughter,Matthew Thompson,15.99,Time Travel/Fantasy,"In a world where time is controlled by a powerful ancient artifact, a young woman named Amelia discovers her unique ability to manipulate time. With the help of a mysterious time traveler, she embarks on a journey through different eras, witnessing pivotal moments in history and confronting her own destiny. But as Amelia's powers grow stronger, she becomes a target for those who seek to control time for their own gain. The Timekeeper's Daughter is an enchanting time-travel fantasy that explores the consequences of altering the fabric of time."
https://images.pexels.com/photos/15206453/pexels-photo-15206453/free-photo-of-festival-high-travel-ferris-wheel.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Price of Redemption,Victoria Chambers,13.5,Historical Romance,"In 19th-century England, Lady Elizabeth Sinclair, a spirited young woman, finds herself entangled in a scandalous affair that threatens to ruin her reputation and destroy her family's honor. Forced into a loveless marriage, she must navigate the treacherous waters of high society while longing for a love that seems out of reach. As Elizabeth fights against societal expectations and the constraints of her time, she discovers the true meaning of redemption and the power of forgiveness. The Price of Redemption is a captivating historical romance that will sweep you away to a world of forbidden love and second chances."
https://images.pexels.com/photos/15157864/pexels-photo-15157864/free-photo-of-sand-dunes-in-desert.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Shadow Within,Michael Anderson,17.25,"Urban FantasyIn the dark underbelly of the city, a secret war rages between supernatural beings and the shadowy organization known as ""The Order."" Jack Thompson, a reluctant hero with a mysterious past, finds himself caught in the middle of this conflict when he discovers his own supernatural abilities. As he navigates a world of magic, monsters, and mayhem, Jack must uncover the truth about his powers and confront his inner demons. The Shadow Within is a thrilling urban fantasy novel that explores the thin line between light and darkness.","In the dark underbelly of the city, a secret war rages between supernatural beings and the shadowy organization known as ""The Order."" Jack Thompson, a reluctant hero with a mysterious past, finds himself caught in the middle of this conflict when he discovers his own supernatural abilities. As he navigates a world of magic, monsters, and mayhem, Jack must uncover the truth about his powers and confront his inner demons. The Shadow Within is a thrilling urban fantasy novel that explores the thin line between light and darkness."
https://images.pexels.com/photos/15107923/pexels-photo-15107923/free-photo-of-a-row-of-seats.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Lost Heir,Emma Collins,14.99,Epic Fantasy,"In the kingdom of Eldoria, a young peasant named Ethan discovers that he is the long-lost heir to the throne. With the help of a wise old wizard and a band of loyal companions, he embarks on a quest to reclaim his birthright and overthrow the evil tyrant who has usurped the throne. Along the way, Ethan must face deadly challenges, forge unlikely alliances, and embrace his destiny as the savior of the realm. The Lost Heir is an epic fantasy adventure filled with magic, heroism, and the power of destiny."
https://images.pexels.com/photos/5201536/pexels-photo-5201536.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Silent Witness,Sarah Walker,10.99,"Legal ThrillerDefense attorney Rachel Davis takes on the case of a lifetime when she is assigned to defend a high-profile celebrity accused of murder. As she delves into the complex web of lies and deceit, Rachel uncovers shocking truths that could shatter her client's image and reveal a far-reaching conspiracy. With her own life in danger and her reputation on the line, Rachel must navigate the treacherous world of fame and justice to uncover the truth and save her client. The Silent Witness is a gripping legal thriller that will keep you guessing until the final verdict.","Legal Thriller,Defense attorney Rachel Davis takes on the case of a lifetime when she is assigned to defend a high-profile celebrity accused of murder. As she delves into the complex web of lies and deceit, Rachel uncovers shocking truths that could shatter her client's image and reveal a far-reaching conspiracy. With her own life in danger and her reputation on the line, Rachel must navigate the treacherous world of fame and justice to uncover the truth and save her client. The Silent Witness is a gripping legal thriller that will keep you guessing until the final verdict."
https://images.pexels.com/photos/16316489/pexels-photo-16316489/free-photo-of-sea-landscape-beach-vacation.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Crimson Crown,Jonathan Harris,8.99,High Fantasy,"In the kingdom of Elysium, a young prince named Marcus must rise to the challenge of leading his people during a time of war and political upheaval. As he battles against rival factions and treacherous allies, Marcus must confront his own insecurities and learn to wield the power of the Crimson Crown, a symbol of his rightful authority. With the fate of the kingdom hanging in the balance, Marcus faces impossible choices and sacrifices in his quest to restore peace and justice. The Crimson Crown is a sweeping high fantasy tale of courage, destiny, and the burdens of leadership."
https://images.pexels.com/photos/16772187/pexels-photo-16772187/free-photo-of-sea-dawn-sunset-beach.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Memory Keeper's Secret,Grace Thompson,21.99,Contemporary Fiction,"When Claire discovers an old journal hidden in her grandmother's attic, she unravels a family secret that has been kept hidden for generations. As she delves into her family's past, Claire uncovers a heartbreaking story of love, loss, and sacrifice. Along the way, she learns the power of forgiveness and the importance of embracing her own identity. The Memory Keeper's Secret is a poignant and heartwarming tale that explores the ties that bind us and the power of our shared history."
https://images.pexels.com/photos/16846950/pexels-photo-16846950/free-photo-of-sea-beach-water-ocean.png?auto=compress&cs=tinysrgb&dpr=1&w=500,The Forbidden City,Lucas Roberts,22.99,Historical Mystery,"In 15th-century China, during the Ming Dynasty, a young scholar named Li Wei finds himself embroiled in a web of political intrigue and forbidden love. As he investigates a series of murders that threaten to destabilize the empire, Li Wei becomes entangled with a beautiful courtesan and uncovers dark secrets that reach the highest levels of power. With danger lurking at every turn, Li Wei must navigate a treacherous landscape of deceit and betrayal to uncover the truth and protect those he loves. The Forbidden City is a captivating historical mystery that immerses you in the rich tapestry of ancient China."
https://images.pexels.com/photos/17018371/pexels-photo-17018371/free-photo-of-sea-landscape-sunset-beach.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Whispers in the Woods,Olivia Roberts,24.5,Supernatural Mystery,"When a series of inexplicable events terrorizes a small town, a group of friends embarks on a journey to uncover the truth behind the mysterious whispers in the woods. As they delve deeper into the supernatural phenomenon, they realize that they are not alone in their quest. Ancient forces are at play, and they must confront their own fears and past traumas to save themselves and their community from a dark and sinister presence. The Whispers in the Woods is a spine-chilling supernatural mystery that will keep you guessing until the final revelation."
https://images.pexels.com/photos/17041074/pexels-photo-17041074/free-photo-of-black-and-white-fashion-bird-love.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Reluctant Mage,Matthew Turner,10,Fantasy/Adventure,"In a world where magic is feared and outlawed, young mage Adrian finds himself torn between his duty to protect the realm and his desire for a normal life. As a new threat looms on the horizon, Adrian must embrace his powers and join forces with a band of misfit heroes to save the kingdom from impending doom. Along the way, he discovers the true meaning of courage, friendship, and sacrifice. The Reluctant Mage is a thrilling fantasy adventure that explores the transformative power of embracing one's true nature."
https://images.pexels.com/photos/4823347/pexels-photo-4823347.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Vanishing Girl,Samantha Collins,9.99,Mystery/Thriller,"When a renowned illusionist disappears during her own magic show, leaving behind only a trail of unanswered questions, detective Alex Hayes is determined to uncover the truth. As he delves into the world of illusions and deception, he uncovers a web of secrets, rivalries, and dark obsessions. With his own life at stake, Alex must navigate a maze of illusions and misdirection to unmask the real culprit. The Vanishing Girl is a gripping mystery thriller that will keep you guessing until the final act."
https://images.pexels.com/photos/7952643/pexels-photo-7952643.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Edge of Destiny,Sophia Anderson,6.99,Romantic Fantasy,"In the enchanted realm of Avaloria, a forbidden love story unfolds between a young princess and a powerful sorcerer. As they navigate the treacherous waters of courtly politics and magical intrigue, their love is tested by duty, sacrifice, and the forces that seek to tear them apart. Together, they must defy the odds and overcome the boundaries that separate their worlds to forge a future together. The Edge of Destiny is a spellbinding romantic fantasy that explores the timeless themes of love, destiny, and the power of true connection."
https://images.pexels.com/photos/16175771/pexels-photo-16175771/free-photo-of-woman-looking-at-a-flying-hot-air-balloon.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Gates of Eternity,Jonathan Wilson,10.99,Science Fiction/Thriller,"In a future where technology has reached unimaginable heights, a brilliant scientist named Dr. Catherine Collins discovers a groundbreaking invention that could change the course of humanity. But as she gets closer to unlocking the secrets of the universe, powerful forces conspire to silence her and control the fate of her discovery. With the help of a rogue AI and a group of rebels, Catherine must evade capture and expose the truth before it's too late. The Gates of Eternity is a gripping science fiction thriller that explores the ethical implications of scientific advancement and the fight for freedom."
