image,name,author,price,category,synopsis
https://images.pexels.com/photos/16769489/pexels-photo-16769489/free-photo-of-woman-relaxation-water-summer.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Meaning of Things,A. C. Grayling,7.6,Personal-Development,
https://images.pexels.com/photos/15016113/pexels-photo-15016113/free-photo-of-cars-and-bus-in-rush-on-city-street.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The History of Philosophy,A. C. Grayling,18.81,Religion,
https://images.pexels.com/photos/17047402/pexels-photo-17047402/free-photo-of-la-gravedad-del-lugar.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Meaning of Things,A. C. Grayling,7.6,Society-Social-Sciences,
https://images.pexels.com/photos/16621377/pexels-photo-16621377/free-photo-of-inspiration-words-on-sea-background.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The History of Philosophy,A. C. Grayling,18.81,Society-Social-Sciences,
https://images.pexels.com/photos/17033550/pexels-photo-17033550/free-photo-of-analog-iced-coffee.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Microeconometrics Using Stata,A. Colin Cameron,93.4,Computing,
https://images.pexels.com/photos/13811605/pexels-photo-13811605.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Snowdrops,A. D. Miller,8.69,Crime-Thriller,
https://images.pexels.com/photos/16976001/pexels-photo-16976001/free-photo-of-love-woman-relaxation-leaf.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Two-Stroke Performance Tuning,A. Graham Bell,24.74,Transport,
https://images.pexels.com/photos/12670847/pexels-photo-12670847.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,Four-Stroke Performance Tuning,A. Graham Bell,36.54,Transport,
https://images.pexels.com/photos/15435371/pexels-photo-15435371/free-photo-of-close-up-of-cake.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,"Knots, Splices and Rope Work",A. Hyatt Verrill,6.23,Transport,
https://images.pexels.com/photos/16297410/pexels-photo-16297410/free-photo-of-food-plate-salad-dinner.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Sweet Science,A. J Liebling,14.32,Sport,
https://images.pexels.com/videos/8836263/adult-affection-beautiful-beautiful-woman-8836263.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Woman in the Window,A. J. Finn,14.72,Crime-Thriller,
https://images.pexels.com/photos/16981120/pexels-photo-16981120/free-photo-of-wood-dirty-building-wall.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Woman in the Window,A. J. Finn,9.47,Crime-Thriller,
https://images.pexels.com/photos/17023691/pexels-photo-17023691/free-photo-of-light-city-art-street.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,How Steam Locomotives Really Work,A. J. Goldfinch,10.66,Technology-Engineering,
https://images.pexels.com/photos/13096020/pexels-photo-13096020.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,How Steam Locomotives Really Work,A. J. Goldfinch,10.66,Transport,
https://images.pexels.com/photos/13534311/pexels-photo-13534311.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Year of Living Biblically,A. J. Jacobs,10.8,Humour,
https://images.pexels.com/photos/17009004/pexels-photo-17009004.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Unlikely Voyage of Jack De Crow,A. J. MacKinnon,15.51,Biography,
https://images.pexels.com/photos/12513296/pexels-photo-12513296.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Unlikely Voyage of Jack De Crow,A. J. MacKinnon,15.51,Sport,
https://images.pexels.com/photos/6431180/pexels-photo-6431180.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Unlikely Voyage of Jack De Crow,A. J. MacKinnon,15.51,Travel-Holiday-Guides,
https://images.pexels.com/photos/16447305/pexels-photo-16447305/free-photo-of-city-art-street-building.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500,The Unlikely Voyage of Jack de Crow,A. J. MacKinnon,15.6,Travel-Holiday-Guides,
